"NAMEHCR","RSSDHCR","RECORD_ID"
"PEOPLES COMMERCIAL BANCORP, INC.","0002606321","1,324,832,703"
"SOONER SOUTHWEST BANKSHARES, INC.","0002411619","1,324,832,709"
PEOPLES LTD.,"0001143959","1,324,832,717"
"MERCER COUNTY STATE BANCORP, INC.","0001247183","1,324,832,718"
"MIDWEST BANCSHARES, INC.","0004347301","1,324,832,728"
WESTERN DAKOTA HOLDING COMPANY,"0002351359","1,324,832,730"
ELKTON HOLDING COMPANY,"0001943917","1,324,832,733"
PAGE HOLDING COMPANY,"0001363748","1,324,832,738"
"DRAPER HOLDING COMPANY, INC.","0001246355","1,324,832,740"
GREAT PLAINS BANK CORPORATION,"0001125898","1,324,832,741"
COMMERCIAL BANCORP,"0003108439","1,324,832,753"
CENTRAL TRUST COMPANY,"0001020920","1,324,832,754"
M&T BANK CORPORATION,"0001037003","1,324,832,776"
CHEMUNG FINANCIAL CORPORATION,"0001133594","1,324,832,780"
TOMPKINS FINANCIAL CORPORATION,"0002367921","1,324,832,783"
"MILLBROOK BANK SYSTEM, INC.","0002646998","1,324,832,788"
WORKERS UNITED,"0004400336","1,324,832,789"
DEUTSCHE BANK AKTIENGESELLSCHAFT,"0001242423","1,324,832,790"
JPMORGAN CHASE & CO.,"0001039502","1,324,832,793"
"BANK OF NEW YORK MELLON CORPORATION, THE","0003587146","1,324,832,796"
"FINANCIAL INSTITUTIONS, INC.","0001032464","1,324,832,807"
"ADIRONDACK TRUST COMPANY EMPLOYEE STOCK OWNERSHIP TRUST, THE","0003138267","1,324,832,808"
"CCFNB BANCORP, INC.","0001118283","1,324,832,822"
NORWOOD FINANCIAL CORP.,"0002365356","1,324,832,825"
"ORRSTOWN FINANCIAL SERVICES, INC.","0001248153","1,324,832,831"
"KENTUCKY BANCSHARES, INC.","0001070831","1,324,832,839"
APPLE CREEK BANC CORP,"0001248993","1,324,832,842"
MINSTER FINANCIAL CORP.,"0002795702","1,324,832,860"
"FARMERS BANCSHARES, INC.","0001132814","1,324,832,866"
"WESBANCO, INC.","0001070448","1,324,832,883"
"CITIZENS BANCORP OF VIRGINIA, INC.","0003219474","1,324,832,893"
"PEOPLES BANKSHARES, INCORPORATED","0002332303","1,324,832,894"
"ROMNEY BANKSHARES, INC.","0001417324","1,324,832,906"
"PLEASANTS COUNTY BANKSHARES, INC.","0002728447","1,324,832,908"
"MERCHANTS AND FARMERS BANCSHARES, INC.","0002111432","1,324,832,916"
"PEOPLES BANCORPORATION, INC.","0001085602","1,324,832,921"
"SUNTRUST BANKS, INC.","0001131787","1,324,832,925"
CENTRAL GEORGIA BANKING COMPANY,"0003184125","1,324,832,930"
SYNOVUS FINANCIAL CORP.,"0001078846","1,324,832,931"
"DAWSON BANCSHARES, INC.","0001085536","1,324,832,933"
"MAGNOLIA BANKSHARES, INC.","0002453936","1,324,832,934"
"LINCOLN BANCSHARES, INC.","0002645937","1,324,832,936"
"GEORGIA COMMUNITY BANCORP, INCORPORATED","0001245581","1,324,832,940"
"SOPERTON BANCSHARES, INCORPORATED","0001250736","1,324,832,942"
FIRST FOREST CORPORATION,"0001085518","1,324,832,951"
"GERBER BANCSHARES, INC.","0003420702","1,324,832,952"
"BYRON BANCSHARES, INC.","0001203107","1,324,832,955"
AMALGAMATED INVESTMENTS COMPANY,"0001020676","1,324,832,956"
NORTHERN TRUST CORPORATION,"0001199611","1,324,832,964"
"COWDEN BANCORP, INC.","0001204467","1,324,832,970"
"CENTRAL BANCSHARES, INC.","0001203899","1,324,832,974"
"GENEVA BANCSHARES, INC.","0001136924","1,324,832,975"
"PEOPLES FINANCIAL CORP. OF ILLINOIS, INC.","0001491801","1,324,832,976"
"ARTHUR R. MURRAY, INC.","0001201390","1,324,832,979"
"TNB BANCORP, INC.","0001840016","1,324,832,985"
"CITIZENS BANCSHARES, INC.","0001131385","1,324,832,986"
MID-IOWA BANCSHARES CO.,"0001207673","1,324,832,993"
BTC FINANCIAL CORPORATION,"0001201671","1,324,832,996"
FIRST FONTANELLE EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,"0003696141","1,324,832,997"
FORT MADISON FINANCIAL COMPANY,"0001357037","1,324,832,998"
GLENWOOD BANCORPORATION,"0001204421","1,324,832,999"
"IDA GROVE BANCSHARES, INC.","0001205183","1,324,833,001"
IOWA FIRST BANCSHARES CORP.,"0001245385","1,324,833,004"
"HTB, INC.","0001427033","1,324,833,006"
"ROYAL BANCSHARES, INC.","0001207758","1,324,833,008"
STORM LAKE SECURITY BANCORPORATION,"0002382344","1,324,833,010"
BLISSFIELD BANK CORPORATION,"0001245648","1,324,833,017"
"TRI-COUNTY BANCORP, INC.","0001969506","1,324,833,018"
EASTERN MICHIGAN FINANCIAL CORPORATION,"0001129467","1,324,833,021"
COMERICA INCORPORATED,"0001199844","1,324,833,022"
"JONES BANCORP, INC.","0002004039","1,324,833,035"
CHEMICAL FINANCIAL CORPORATION,"0001201934","1,324,833,037"
ISABELLA BANK CORPORATION,"0001401118","1,324,833,039"
"CHOICEONE FINANCIAL SERVICES, INC.","0001139297","1,324,833,047"
"MONTFORT BANCORPORATION, INC.","0001205325","1,324,833,053"
FARMERS BANCORP INC.,"0001247615","1,324,833,058"
"FBT BANCSHARES, INC.","0001099092","1,324,833,059"
"BANC ED CORP., THE","0002066868","1,324,833,067"
"MIDLAND STATES BANCORP, INC.","0001491351","1,324,833,068"
"LBT BANCSHARES, INC.","0001099195","1,324,833,075"
"STEELEVILLE BANCSHARES, INC.","0001099627","1,324,833,076"
"HARTLAND FINANCIAL, INC.","0004744441","1,324,833,078"
"STUPP BROS., INC.","0001094556","1,324,833,083"
"WOOD & HUSTON BANCORPORATION, INC.","0001058558","1,324,833,085"
"CASS INFORMATION SYSTEMS, INC.","0001098648","1,324,833,092"
DELTA BANCSHARES COMPANY,"0001094613","1,324,833,095"
"FIRST ILLINOIS BANCORP, INC.","0001095889","1,324,833,097"
BOV HOLDING COMPANY,"0003643837","1,324,833,106"
S.B.E. CORP.,"0001129159","1,324,833,110"
BAYBANK CORPORATION,"0002533070","1,324,833,112"
CENTRAL BANK CORPORATION,"0001246805","1,324,833,115"
"JOHNSON BANCSHARES, INC.","0001126484","1,324,833,118"
"WRZ BANKSHARES, INC.","0001427640","1,324,833,120"
"FIRST INTERSTATE BANCSYSTEM, INC.","0001123670","1,324,833,123"
"BIG MUDDY BANCORP, INC.","0002270834","1,324,833,132"
"LEACKCO BANK HOLDING COMPANY, INC.","0001131406","1,324,833,135"
FIDELITY CORPORATION,"0001121788","1,324,833,139"
H & W HOLDING COMPANY,"0001363908","1,324,833,142"
"HEARTLAND FINANCIAL USA, INC.","0001206546","1,324,833,156"
"PEOPLES BANKSHARES LTD., THE","0001056657","1,324,833,159"
"FIDELITY KANSAS BANKSHARES, INC.","0001066526","1,324,833,162"
"HOHL FINANCIAL, INC.","0002566247","1,324,833,170"
EMPLOYEE STOCK BONUS TRUST FOR THE EMPLOYEES OF CITIZENS BANK,"0002749031","1,324,833,171"
UCSB FINANCIAL CORPORATION,"0003272554","1,324,833,174"
"NORTHEASTERN WYOMING BANK CORPORATION, INC.","0001058615","1,324,833,175"
SUNDANCE STATE BANK PROFIT SHARING AND EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,"0003157008","1,324,833,176"
ARROWHEAD COMPANY,"0001237447","1,324,833,196"
"GUARANTY BANCSHARES, INC.","0001862036","1,324,833,202"
"NACOGDOCHES COMMERCIAL BANCSHARES, INC.","0001107595","1,324,833,203"
"VISTA BANCSHARES, INC.","0001135897","1,324,833,204"
ROSCOE FINANCIAL CORPORATION,"0001909445","1,324,833,206"
"FIRST STATE BANKSHARES, INC.","0001417137","1,324,833,211"
"WSB BANCSHARES, INC.","0002007218","1,324,833,212"
"PALOMAR ENTERPRISES, LLC","0003649950","1,324,833,215"
"IRELAND BANCORP, LTD.","0001248845","1,324,833,222"
GV BANCORP EMPLOYEE STOCK OWNERSHIP PLAN,"0002650454","1,324,833,226"
W.T.B. FINANCIAL CORPORATION,"0001029464","1,324,833,238"
MAGNOLIA BANKING CORPORATION,"0001135413","1,324,833,242"
FNBC BANCORP INC,"0001099690","1,324,833,244"
WILKINSON BANKING CORPORATION,"0001417511","1,324,833,246"
"EVOLVE BANCORP, INC","0001142411","1,324,833,249"
FARMERS & MERCHANTS BANCORP,"0002781910","1,324,833,253"
"PBT BANCSHARES, INC.","0001248658","1,324,833,266"
"GRANT BANCSHARES, INC.","0003203138","1,324,833,273"
"COMMERCE BANCSHARES, INC.","0003135471","1,324,833,274"
"CITIZENS BANCORPORATION, INC.","0001084472","1,324,833,276"
"FELICIANA BANCSHARES, INC.","0004211336","1,324,833,279"
"BELLE PLAINE BANCORPORATION, INC.","0001134573","1,324,833,282"
"J & B FINANCIAL HOLDINGS, INC.","0004498726","1,324,833,284"
"ORMSBY BANCSHARES, INC.","0001124574","1,324,833,286"
"WASECA BANCSHARES, INC.","0001142989","1,324,833,288"
"ARLCO, INC.","0001123728","1,324,833,289"
FRANDSEN FINANCIAL CORPORATION,"0001128358","1,324,833,296"
"WEST 12 BANCORPORATION, INC.","0003042841","1,324,833,298"
"FORSTROM BANCORPORATION, INC.","0001128134","1,324,833,299"
"KENSINGTON BANCORP., INC.","0002359917","1,324,833,306"
"DARWIN BANCSHARES, INC.","0001125571","1,324,833,308"
"MILLE LACS BANCORPORATION, INC.","0002359823","1,324,833,312"
"WILSON BANCSHARES, INC.","0001060104","1,324,833,313"
"CLIFFORD BANCSHARES, INC.","0001097119","1,324,833,316"
"SECURITY STATE BANCSHARES, INC.","0001248573","1,324,833,321"
"MID-MO BANCSHARES, INC.","0001247736","1,324,833,322"
PLATTE VALLEY CATTLE COMPANY,"0001054859","1,324,833,327"
EXCHANGE COMPANY,"0001061893","1,324,833,328"
"UB, INC.","0002090779","1,324,833,330"
"AMERICAN INTERSTATE BANCORPORATION, INC.","0001210459","1,324,833,331"
"HOLLAND BANCORP, INC.","0002960359","1,324,833,337"
"SECURITY BANCORP OF TENNESSEE, INC.","0001135374","1,324,833,340"
"PEOPLES BANCORP, INC.","0001131554","1,324,833,346"
"DYER F & M BANCSHARES, INC.","0001119516","1,324,833,351"
"FRANKEWING BANCSHARES, INC.","0001136447","1,324,833,354"
FIRST FARMERS AND MERCHANTS CORPORATION,"0001083783","1,324,833,357"
"BRISCOE RANCH, INC.","0001102451","1,324,833,365"
"CLAYTON BANKSHARES, INC.","0001123782","1,324,833,372"
"MARKESAN BANCSHARES, INC.","0001406850","1,324,833,376"
DBT FINANCIAL CORPORATION,"0001139176","1,324,833,380"
BAINUM BANCORP,"0001491333","1,324,833,382"
"SOUTHERN BANCORP, INC","0001248939","1,324,833,383"
"1867 WESTERN FINANCIAL CORPORATION","0001399765","1,324,833,387"
AMES NATIONAL CORPORATION,"0001202258","1,324,833,389"
"BRADLEY BANCORP, INC.","0001202119","1,324,833,391"
"AJJ BANCORP, INC.","0002253734","1,324,833,394"
"CENTRAL BANCSHARES, INC.","0001203899","1,324,833,396"
"DANES HOLDINGS, INC.","0004771979","1,324,833,397"
TWIN CEDARS BANCORP.,"0001205101","1,324,833,399"
"COMMUNITY FINANCIAL OF KENTUCKY, INC.","0001928727","1,324,833,402"
"LAKE VALLEY BANCORP, INC.","0001119253","1,324,833,404"
COMERICA INCORPORATED,"0001199844","1,324,833,415"
"COUNTRY BANKERS, INC.","0001992335","1,324,833,418"
"215 HOLDING CO.","0001247576","1,324,833,419"
"SECURITY STATE BANCSHARES OF BEMIDJI, INC.","0001125496","1,324,833,423"
"METRO NORTH BANCSHARES, INC.","0003027268","1,324,833,425"
"WYOMING BANCSHARES, INC.","0001128554","1,324,833,427"
"FARIBAULT BANCSHARES, INC.","0001126158","1,324,833,428"
"CARROLL COUNTY BANCSHARES, INC.","0001131013","1,324,833,429"
"NORTHERN MISSOURI BANCSHARES, INC.","0001249495","1,324,833,433"
"RELIABLE COMMUNITY BANCSHARES, INC.","0001416439","1,324,833,434"
"FIRST AMERICAN BANCSHARES, INC.","0001059751","1,324,833,437"
ROCKHOLD BANCORP,"0002352280","1,324,833,447"
"STEELVILLE COMMUNITY BANC-SHARES, INC.","0001096037","1,324,833,450"
"LINCO BANCSHARES, INC.","0003523359","1,324,833,454"
"CUIVRE RIVER BANCSHARES, INC.","0002315164","1,324,833,465"
"FMB OF S.C. BANCSHARES, INC.","0001137426","1,324,833,469"
"BRYANT BANCSHARES, INC.","0001127717","1,324,833,476"
PARKSTON INVESTMENT COMPANY,"0001122897","1,324,833,484"
"FIRST FARMERS BANCSHARES, INC.","0001086122","1,324,833,493"
"CLAIBORNE HOLDING COMPANY, INC.","0001135646","1,324,833,495"
"SEQUATCHIE COUNTY BANCORP, INC.","0001134751","1,324,833,499"
"CITIZENS BANCORP INVESTMENT, INC.","0001140239","1,324,833,501"
"CIRCLE I BANK GROUP, INC.","0004442523","1,324,833,508"
"GREENSBORO BANCSHARES, INC.","0001086775","1,324,833,517"
F&M FINANCIAL CORP,"0001137882","1,324,833,522"
"PEOPLES INDEPENDENT BANCSHARES, INC.","0001918755","1,324,833,531"
FIRST UNION FINANCIAL CORPORATION,"0001098880","1,324,833,539"
"2011 TCRT","0004759650","1,324,833,546"
"ARK VALLEY BANKSHARES, INC.","0001056732","1,324,833,551"
"CSBO HOLDINGS, INC. ESOP","0004933302","1,324,833,552"
"PIEPER BANCORP, INC.","0001055119","1,324,833,553"
"SHANNON BANCORP, INC.","0001209985","1,324,833,554"
LONGVIEW CAPITAL CORPORATION,"0001204618","1,324,833,558"
"ROCHESTER STATE BANKSHARES, INC.","0001132319","1,324,833,559"
BACKLUND INVESTMENT CO.,"0001095058","1,324,833,576"
BENTON FINANCIAL CORPORATION,"0001130762","1,324,833,586"
FAIRMOUNT BANKING COMPANY,"0002033440","1,324,833,590"
LIZTON FINANCIAL CORPORATION,"0001129618","1,324,833,594"
"OSSIAN FINANCIAL SERVICES, INC.","0001138375","1,324,833,598"
COMMUNITY BANCORP,"0001210347","1,324,833,600"
"FARMERS AND MERCHANTS BANCORP, THE","0001135507","1,324,833,603"
BIPPUS STATE CORPORATION,"0001210217","1,324,833,605"
WAYTRU BANCORP,"0001204533","1,324,833,606"
"CEDAR VALLEY BANKSHARES, LTD.","0001207815","1,324,833,608"
"WFC, INC.","0001142783","1,324,833,611"
CHIEF IOWA INVESTMENT CORPORATION,"0004516255","1,324,833,613"
HEARTWAY BANCORPORATION,"0002166003","1,324,833,615"
"SECURITY BANCSHARES, INC.","0001248836","1,324,833,618"
"TESCOTT BANCSHARES, INC.","0001841004","1,324,833,619"
"DOCKING BANCSHARES, INC.","0003094121","1,324,833,620"
"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS, IRON SHIP BUILDERS, BLACKSMITHS, FORGERS AND HELPERS","0001051317","1,324,833,625"
"FARMERS AND MERCHANTS BANCSHARES, INC.","0005041521","1,324,833,638"
"FINLAYSON BANCSHARES, INC.","0001126037","1,324,833,641"
POE INVESTMENT COMPANY,"0001122981","1,324,833,642"
"SAINT CLAIR AGENCY, INC.","0001128723","1,324,833,643"
"PROFINIUM FINANCIAL HOLDINGS, INC.","0001128527","1,324,833,645"
TRIMONT BANCORPORATION,"0001127306","1,324,833,646"
"CITIZENS INVESTMENT CO., INC.","0001122066","1,324,833,658"
"FSB HOLDING COMPANY, INC.","0001126185","1,324,833,669"
"MARKET BANCORPORATION, INC.","0001143904","1,324,833,671"
"PIESCO, INC.","0002780717","1,324,833,673"
"LATHAM BANCSHARES, INC.","0001097744","1,324,833,679"
"NEMO BANCSHARES, INC","0002352253","1,324,833,683"
"CITIZENS BANCSHARES OF ELDON, MISSOURI, INC.","0001141900","1,324,833,690"
"LAMAR TRUST BANCSHARES, INC.","0001067354","1,324,833,697"
"MIDWEST BANCORPORATION, INC. AND AFFILIATES ESOP TRUST","0002575230","1,324,833,700"
"CBT CORPORATION, INC.","0001857779","1,324,833,702"
YELLOWSTONE HOLDING COMPANY,"0001124921","1,324,833,705"
"VALLEY BANCSHARES, INC.","0001125900","1,324,833,707"
"FS BANCO, INC.","0001857171","1,324,833,709"
"WESTERN BANCSHARES, INC.","0004169950","1,324,833,710"
"COMMERCIAL STATE HOLDING COMPANY, INC.","0001065828","1,324,833,712"
PATHWAY BANCORP,"0003304361","1,324,833,713"
"CERESCO BANCORP, INC.","0002696984","1,324,833,714"
F & M FINANCIAL CORPORATION,"0001076619","1,324,833,725"
JORGENSON HOLDING COMPANY,"0001122057","1,324,833,736"
CNB CORPORATION,"0001134108","1,324,833,760"
FNB CORPORATION,"0001143230","1,324,833,762"
"SOUTHCREST FINANCIAL GROUP, INC.","0002497202","1,324,833,774"
"QUEENSBOROUGH COMPANY, THE","0001130904","1,324,833,785"
"MONTICELLO BANCSHARES, INC.","0002412139","1,324,833,791"
SOUTHWEST GEORGIA FINANCIAL CORPORATION,"0001081538","1,324,833,793"
FIRST BURKE BANKING COMPANY,"0001137752","1,324,833,804"
"FIRST COMMUNITY BANCORP, INC.","0002252009","1,324,833,815"
COUNTRICORP,"0001134470","1,324,833,837"
"FIRST NATIONAL BUFFALO BANKSHARES, INC.","0001057243","1,324,833,838"
"BRIDGER COMPANY, THE","0001122310","1,324,833,849"
CARBON COUNTY HOLDING COMPANY,"0002043346","1,324,833,853"
RSNB BANCORP,"0002718167","1,324,833,854"
"PINNACLE BANCORP, INC.","0001053272","1,324,833,857"
"FIRST ARTESIA BANCSHARES, INC.","0001108967","1,324,833,864"
"CARLSBAD BANCORPORATION, INC.","0001131527","1,324,833,865"
"JAMES POLK STONE COMMUNITY BANCSHARES, INC.","0001104978","1,324,833,867"
NEW MEXICO NATIONAL FINANCIAL INCORPORATED,"0002013947","1,324,833,868"
LORDSBURG FINANCIAL CORPORATION,"0001417454","1,324,833,870"
FNB BANCORP,"0002851653","1,324,833,876"
FNBELY BANCORPORATION,"0005192393","1,324,833,881"
CORTLAND BANCORP,"0001130931","1,324,833,883"
"NORTH VALLEY BANCSHARES, INC.","0003264193","1,324,833,884"
"GENBANC, INC.","0001071388","1,324,833,885"
"COMMODORE FINANCIAL NETWORK, INC.","0003316403","1,324,833,887"
"MAGNOLIA BANCORP, INC.","0002402813","1,324,833,894"
"FORT COBB BANCSHARES, INC.","0001061932","1,324,833,900"
"IRONHORSE FINANCIAL GROUP, INC.","0003488485","1,324,833,906"
"UNITED CAPITAL BANCSHARES, INC.","0001063105","1,324,833,908"
"WATONGA BANCSHARES, INC.","0001059443","1,324,833,909"
"PEOPLES COMMERCIAL BANCORP, INC.","0002606321","1,324,833,911"
"ARKANSAS VALLEY BANCSHARES, INC.","0001057980","1,324,833,916"
"GRANDVIEW BANKSHARES, INC.","0002355870","1,324,833,917"
"GRIFFITH FAMILY FINANCIAL HOLDINGS, L.L.C.","0002816858","1,324,833,918"
MAUCH CHUNK TRUST FINANCIAL CORP.,"0003045011","1,324,833,930"
FCB CORPORATION,"0001085488","1,324,833,936"
"BANCSHARES OF GLEASON, INC.","0001098808","1,324,833,940"
"CARROLL FINANCIAL SERVICES, INC.","0001848825","1,324,833,941"
"SECURITY BANCORP OF TENNESSEE, INC.","0001135374","1,324,833,946"
"FARMERS BANKSHARES, INC.","0004553960","1,324,833,969"
"STATE BANCORP, INC.","0001076150","1,324,833,972"
FIRST CLAY COUNTY BANC CORPORATION,"0001427211","1,324,833,973"
"PIONEER COMMUNITY GROUP, INC.","0002356514","1,324,833,977"
"TRI-COUNTY BANCORP, INC.","0003068289","1,324,833,981"
DAVIS TRUST FINANCIAL CORPORATION,"0002878294","1,324,833,982"
"CITIZENS BANCORP, INC.","0003559862","1,324,833,993"
"NW BANCSHARES, INC.","0001246542","1,324,833,994"
CITIZENS FINANCIAL CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,"0001247727","1,324,833,995"
"NORTHERN BANKSHARES, INC.","0001204748","1,324,834,001"
DEERFIELD FINANCIAL CORPORATION,"0001416738","1,324,834,002"
"NEKOOSA PORT EDWARDS BANCORPORATION, INC.","0001204074","1,324,834,004"
"IRON BANCSHARES, INC.","0002606693","1,324,834,014"
"BROOKLINE BANCORP, INC.","0002631510","1,324,834,057"
GRAND BANK CORPORATION,"0001115406","1,324,834,065"
"FNB BANCSHARES, INC.","0002262503","1,324,834,104"
CUMBERLAND VALLEY FINANCIAL CORPORATION,"0001071463","1,324,834,111"
"FIRST GRAYSON BANCORP, INC.","0001823747","1,324,834,114"
"FIRST NATIONAL HOLDING COMPANY OF JACKSON, THE","0001132168","1,324,834,117"
"FIRST SOUTHERN BANCORP, INC.","0001247987","1,324,834,118"
FIRST NATIONAL LONDON BANKSHARES CORPORATION,"0001071409","1,324,834,121"
FIRST NATIONAL FINANCIAL CORPORATION,"0001427220","1,324,834,124"
"FIRST STATE BANCSHARES, INC.","0001070998","1,324,834,126"
"TRADITIONAL BANCORPORATION, INC.","0001070420","1,324,834,127"
CITIZENS NATIONAL CORPORATION,"0001071623","1,324,834,134"
"COMMUNITY TRUST BANCORP, INC.","0001070644","1,324,834,136"
"FIRST PRESTONSBURG BANCSHARES, INC.","0001071043","1,324,834,137"
"SNB BANCORP, INC.","0002896207","1,324,834,139"
"CITIZENS BANCSHARES, INC.","0001070484","1,324,834,141"
"BUFFALO BANCSHARES, INC.","0001096297","1,324,834,148"
"PORT WILLIAM BANCSHARES, INC.","0002744849","1,324,834,149"
"ALBANY BANCORP, INC.","0002022444","1,324,834,151"
"BOYLE BANCORP, INC.","0001119244","1,324,834,153"
"HAMBAC, INC.","0001118911","1,324,834,162"
"CNB OF LEBANON BANCORP, INC.","0001098639","1,324,834,165"
"LEBANON BANCSHARES, INC.","0001098451","1,324,834,166"
JACKSON FINANCIAL CORPORATION,"0001119347","1,324,834,170"
"UNITED BANCORP OF PRINCETON, INC.","0001098554","1,324,834,175"
"FIRST BANCORP, INC.","0001099140","1,324,834,177"
FNB FINANCIAL CORP.,"0001248144","1,324,834,179"
MIDSOUTH BANCORPORATION,"0001136689","1,324,834,185"
"FIRST SUNCOAST TRUST BANCSHARES, INC.","0001141302","1,324,834,187"
